日付,時刻,気温,降水量,風向,風速,日照時間,湿度,気圧
20200913,1,24.4,0.0,北北西,3.8,-,80,1012.0
20200913,2,24.2,0.0,北北西,2.6,-,79,1011.9
20200913,3,24.3,0.0,北北西,3.8,-,76,1012.0
20200913,4,24.0,0.0,北西,2.6,0.0,76,1012.5
20200913,5,23.6,0.0,北北西,4.2,0.0,76,1012.6
20200913,6,24.0,0.0,北北西,3.9,0.0,74,1012.7
20200913,7,24.1,0.0,北北西,4.0,0.0,77,1013.0
20200913,8,24.9,0.0,北北西,3.4,0.7,78,1013.4
20200913,9,24.4,0.0,北西,4.4,0.2,76,1013.8
20200913,10,25.0,0.0,北西,4.2,0.3,73,1014.3
20200913,11,25.5,0.0,北北西,3.7,0.1,71,1014.2
20200913,12,26.0,0.0,北西,3.8,0.4,68,1013.9
20200913,13,27.0,0.0,北北西,5.3,1.0,64,1013.2
20200913,14,27.1,0.0,北,3.5,1.0,63,1012.8
20200913,15,27.2,0.0,北,5.3,1.0,62,1012.2
20200913,16,27.4,0.0,北北西,4.1,1.0,62,1011.8
20200913,17,26.8,0.0,北北西,4.0,1.0,63,1012.2
20200913,18,25.4,0.0,北北西,4.6,1.0,67,1012.8
20200913,19,24.7,0.0,北北西,3.9,0.0,71,1013.3
20200913,20,24.1,0.0,北北西,3.9,0.0,70,1014.4
20200913,21,23.4,0.0,北北西,5.0,-,72,1014.8
20200913,22,23.1,0.0,北北西,4.5,-,72,1014.7
20200913,23,22.8,0.0,北北西,3.2,-,73,1014.7
20200913,24,22.6,0.0,北西,2.9,-,76,1014.2
20200914,1,21.6,0.0,西,1.7,-,80,1014.3
20200914,2,21.2,0.0,南,2.3,-,84,1014.3
20200914,3,20.4,0.0,南,1.5,-,89,1014.2
20200914,4,22.4,0.0,北,2.9,0.0,68,1013.9
20200914,5,22.0,0.0,北北西,1.7,0.0,70,1014.3
20200914,6,21.8,0.0,北北西,3.8,0.0,73,1013.8
20200914,7,-,-,-,-,-,-,-
20200914,8,-,-,-,-,-,-,-
20200914,9,-,-,-,-,-,-,-
20200914,10,-,-,-,-,-,-,-
20200914,11,-,-,-,-,-,-,-
20200914,12,-,-,-,-,-,-,-
20200914,13,-,-,-,-,-,-,-
20200914,14,-,-,-,-,-,-,-
20200914,15,-,-,-,-,-,-,-
20200914,16,-,-,-,-,-,-,-
20200914,17,-,-,-,-,-,-,-
20200914,18,-,-,-,-,-,-,-
20200914,19,-,-,-,-,-,-,-
20200914,20,-,-,-,-,-,-,-
20200914,21,-,-,-,-,-,-,-
20200914,22,-,-,-,-,-,-,-
20200914,23,-,-,-,-,-,-,-
20200914,24,-,-,-,-,-,-,-
