日付,時刻,気温,降水量,風向,風速,日照時間
20200914,1,20.0,0.0,南,0.8,-
20200914,2,19.4,0.0,南西,1.1,-
20200914,3,19.0,0.0,南南西,1.1,-
20200914,4,18.7,0.0,南南西,1.0,0.0
20200914,5,18.1,0.0,南,0.6,0.0
20200914,6,17.9,0.0,南南西,0.8,0.0
20200914,7,18.4,0.0,北西,1.1,0.0
20200914,8,20.0,0.0,南南東,0.6,0.6
20200914,9,20.8,0.0,東,0.7,0.4
20200914,10,22.4,0.0,東北東,0.7,0.7
20200914,11,23.4,0.0,北東,1.5,0.4
20200914,12,24.3,0.0,北北東,1.9,0.7
20200914,13,25.4,0.0,東,2.4,1.0
20200914,14,26.1,0.0,東北東,2.4,1.0
20200914,15,26.6,0.0,東北東,3.1,1.0
20200914,16,25.9,0.0,東北東,3.3,1.0
20200914,17,25.0,0.0,東,2.8,1.0
20200914,18,23.5,0.0,東北東,2.0,0.9
20200914,19,22.2,0.0,東,0.9,0.0
20200914,20,20.6,0.0,西,0.9,0.0
20200914,21,19.9,0.0,西北西,1.1,-
20200914,22,20.0,0.0,南南西,1.4,-
20200914,23,19.5,0.0,西,1.3,-
20200914,24,19.3,0.0,南西,1.4,-
20200915,1,19.0,0.0,南南西,0.3,-
20200915,2,18.6,0.0,西南西,1.1,-
20200915,3,18.2,0.0,西南西,1.1,-
20200915,4,17.9,0.0,西,0.9,0.0
20200915,5,17.9,0.0,南南西,1.1,0.0
20200915,6,17.4,0.0,西,0.3,0.0
20200915,7,18.0,0.0,西南西,0.8,0.2
20200915,8,21.1,0.0,南,0.6,0.9
20200915,9,22.7,0.0,北東,1.3,1.0
20200915,10,-,-,-,-,-
20200915,11,-,-,-,-,-
20200915,12,-,-,-,-,-
20200915,13,-,-,-,-,-
20200915,14,-,-,-,-,-
20200915,15,-,-,-,-,-
20200915,16,-,-,-,-,-
20200915,17,-,-,-,-,-
20200915,18,-,-,-,-,-
20200915,19,-,-,-,-,-
20200915,20,-,-,-,-,-
20200915,21,-,-,-,-,-
20200915,22,-,-,-,-,-
20200915,23,-,-,-,-,-
20200915,24,-,-,-,-,-
