日付,時刻,気温,降水量,風向,風速,日照時間
20200914,1,19.3,0.0,南南東,1.0,-
20200914,2,18.8,0.0,南,2.4,-
20200914,3,18.1,0.0,南,2.3,-
20200914,4,17.9,0.0,南,2.6,0.0
20200914,5,17.9,0.0,南南東,2.5,0.0
20200914,6,17.8,0.0,南,3.3,0.0
20200914,7,18.4,0.0,南,3.2,0.0
20200914,8,20.3,0.0,南南東,1.8,0.0
20200914,9,22.0,0.0,東北東,1.1,0.3
20200914,10,22.4,0.0,南西,0.4,0.0
20200914,11,23.3,0.0,北北東,1.7,0.3
20200914,12,25.1,0.0,北東,1.8,1.0
20200914,13,25.9,0.0,北東,2.8,1.0
20200914,14,25.8,0.0,北北東,3.8,1.0
20200914,15,25.5,0.0,北東,4.7,1.0
20200914,16,25.4,0.0,北東,3.3,1.0
20200914,17,24.5,0.0,北,2.3,1.0
20200914,18,22.2,0.0,西,0.5,0.7
20200914,19,21.3,0.0,南,2.2,0.0
20200914,20,19.7,0.0,南南東,1.0,0.0
20200914,21,18.6,0.0,南南東,0.5,-
20200914,22,18.0,0.0,南,0.4,-
20200914,23,17.9,0.0,南南西,0.6,-
20200914,24,17.6,0.0,南南東,0.9,-
20200915,1,17.4,0.0,南南東,0.7,-
20200915,2,17.0,0.0,南,1.3,-
20200915,3,16.6,0.0,北西,0.4,-
20200915,4,16.7,0.0,南南西,0.5,0.0
20200915,5,16.8,0.0,南南東,0.9,0.0
20200915,6,16.3,0.0,静穏,0.2,0.0
20200915,7,16.8,0.0,南南東,0.6,0.1
20200915,8,19.4,0.0,静穏,0.1,1.0
20200915,9,22.7,0.0,北北西,0.7,1.0
20200915,10,24.7,0.0,北北西,1.8,1.0
20200915,11,26.6,0.0,北東,2.1,1.0
20200915,12,27.5,0.0,北北東,3.0,0.9
20200915,13,-,-,-,-,-
20200915,14,-,-,-,-,-
20200915,15,-,-,-,-,-
20200915,16,-,-,-,-,-
20200915,17,-,-,-,-,-
20200915,18,-,-,-,-,-
20200915,19,-,-,-,-,-
20200915,20,-,-,-,-,-
20200915,21,-,-,-,-,-
20200915,22,-,-,-,-,-
20200915,23,-,-,-,-,-
20200915,24,-,-,-,-,-
