日付,時刻,気温,降水量,風向,風速,日照時間
20200913,1,22.7,0.0,西,2.1,-
20200913,2,22.4,0.0,西北西,3.2,-
20200913,3,22.3,0.0,西北西,3.8,-
20200913,4,22.1,0.0,西,3.6,0.0
20200913,5,22.3,0.0,西,2.4,0.0
20200913,6,21.8,0.5,西北西,2.6,0.0
20200913,7,22.3,0.0,西,2.0,0.0
20200913,8,22.2,0.0,西,2.7,0.0
20200913,9,23.3,0.0,北北西,3.0,0.0
20200913,10,24.0,0.0,北北西,3.7,0.2
20200913,11,24.9,0.0,北北西,3.2,0.6
20200913,12,25.0,0.0,北北西,2.9,0.2
20200913,13,26.1,0.0,北北西,3.2,0.5
20200913,14,25.5,0.0,北,3.4,0.5
20200913,15,25.4,0.0,北北西,3.2,0.9
20200913,16,25.7,0.0,北西,3.1,1.0
20200913,17,25.3,0.0,北北西,2.9,0.9
20200913,18,24.2,0.0,北北西,3.3,0.3
20200913,19,23.7,0.0,北北西,3.1,0.0
20200913,20,22.7,0.0,北,3.3,0.0
20200913,21,22.2,0.0,北,2.6,-
20200913,22,21.8,0.0,北北西,1.7,-
20200913,23,21.8,0.0,西北西,1.4,-
20200913,24,21.0,0.0,西北西,2.1,-
20200914,1,20.3,0.0,西南西,1.6,-
20200914,2,19.6,0.0,西南西,1.4,-
20200914,3,19.5,0.0,西南西,1.5,-
20200914,4,19.0,0.0,西南西,0.9,0.0
20200914,5,19.1,0.0,西,1.4,0.0
20200914,6,19.0,0.0,西南西,1.4,0.0
20200914,7,19.6,0.0,南西,1.8,0.0
20200914,8,21.1,0.0,南西,1.8,0.1
20200914,9,-,-,-,-,-
20200914,10,-,-,-,-,-
20200914,11,-,-,-,-,-
20200914,12,-,-,-,-,-
20200914,13,-,-,-,-,-
20200914,14,-,-,-,-,-
20200914,15,-,-,-,-,-
20200914,16,-,-,-,-,-
20200914,17,-,-,-,-,-
20200914,18,-,-,-,-,-
20200914,19,-,-,-,-,-
20200914,20,-,-,-,-,-
20200914,21,-,-,-,-,-
20200914,22,-,-,-,-,-
20200914,23,-,-,-,-,-
20200914,24,-,-,-,-,-
