日付,時刻,気温,降水量,風向,風速,日照時間
20200913,1,24.7,0.0,北,3.0,-
20200913,2,24.6,0.0,北,1.9,-
20200913,3,24.1,0.0,東南東,0.8,-
20200913,4,24.2,0.0,北北東,1.6,0.0
20200913,5,23.9,0.0,北北東,1.4,0.0
20200913,6,23.8,0.0,北,3.6,0.0
20200913,7,23.6,0.0,北,3.4,0.0
20200913,8,24.8,0.0,北北西,2.4,0.6
20200913,9,25.8,0.0,北北東,3.2,0.8
20200913,10,26.3,0.0,北,2.5,0.4
20200913,11,28.1,0.0,北北東,4.7,1.0
20200913,12,27.5,0.0,北,4.8,0.8
20200913,13,28.0,0.0,北,3.4,0.4
20200913,14,28.0,0.0,北,3.8,0.2
20200913,15,27.5,0.0,北,2.5,0.0
20200913,16,27.7,0.0,北,3.3,0.8
20200913,17,27.2,0.0,北,1.3,0.9
20200913,18,25.4,0.0,北北西,2.0,0.7
20200913,19,23.6,0.0,北,2.5,0.0
20200913,20,24.1,0.0,北,2.6,0.0
20200913,21,24.5,0.0,北北西,5.1,-
20200913,22,23.6,0.0,北,4.9,-
20200913,23,23.4,0.0,北,4.5,-
20200913,24,23.0,0.0,北東,2.4,-
20200914,1,22.6,0.0,北東,2.8,-
20200914,2,22.5,0.0,北,2.7,-
20200914,3,22.5,0.0,北,3.9,-
20200914,4,-,-,-,-,-
20200914,5,-,-,-,-,-
20200914,6,-,-,-,-,-
20200914,7,-,-,-,-,-
20200914,8,-,-,-,-,-
20200914,9,-,-,-,-,-
20200914,10,-,-,-,-,-
20200914,11,-,-,-,-,-
20200914,12,-,-,-,-,-
20200914,13,-,-,-,-,-
20200914,14,-,-,-,-,-
20200914,15,-,-,-,-,-
20200914,16,-,-,-,-,-
20200914,17,-,-,-,-,-
20200914,18,-,-,-,-,-
20200914,19,-,-,-,-,-
20200914,20,-,-,-,-,-
20200914,21,-,-,-,-,-
20200914,22,-,-,-,-,-
20200914,23,-,-,-,-,-
20200914,24,-,-,-,-,-
