日付,時刻,気温,降水量,風向,風速,日照時間
20200914,1,17.3,0.0,北東,0.7,-
20200914,2,16.6,0.0,静穏,0.0,-
20200914,3,15.9,0.0,静穏,0.0,-
20200914,4,15.9,0.0,東北東,0.3,0.0
20200914,5,15.8,0.0,静穏,0.2,0.0
20200914,6,15.9,0.0,北北東,0.4,0.0
20200914,7,16.9,0.0,静穏,0.1,0.0
20200914,8,18.2,0.0,北北西,0.6,0.1
20200914,9,19.9,0.0,南,1.0,0.3
20200914,10,21.0,0.0,北東,1.2,0.3
20200914,11,22.1,0.0,北北東,1.3,0.4
20200914,12,24.5,0.0,北北東,1.4,0.7
20200914,13,26.4,0.0,北北西,1.5,1.0
20200914,14,26.6,0.0,北,2.1,1.0
20200914,15,26.8,0.0,北北東,2.2,1.0
20200914,16,25.0,0.0,北,2.4,1.0
20200914,17,24.6,0.0,北,1.3,1.0
20200914,18,22.4,0.0,北,1.2,0.7
20200914,19,19.9,0.0,北,0.4,0.0
20200914,20,18.6,0.0,北北東,0.4,0.0
20200914,21,17.6,0.0,静穏,0.0,-
20200914,22,16.9,0.0,北北東,0.3,-
20200914,23,16.5,0.0,静穏,0.0,-
20200914,24,16.5,0.0,静穏,0.0,-
20200915,1,15.8,0.0,静穏,0.0,-
20200915,2,15.9,0.0,静穏,0.0,-
20200915,3,15.5,0.0,静穏,0.0,-
20200915,4,15.7,0.0,静穏,0.0,0.0
20200915,5,15.4,0.0,静穏,0.0,0.0
20200915,6,14.9,0.0,静穏,0.0,0.0
20200915,7,15.7,0.0,静穏,0.2,0.3
20200915,8,18.9,0.0,東南東,0.5,1.0
20200915,9,22.7,0.0,東,1.0,1.0
20200915,10,25.9,0.0,南東,1.3,1.0
20200915,11,26.8,0.0,南東,0.9,1.0
20200915,12,28.1,0.0,東北東,2.4,1.0
20200915,13,26.8,0.0,北東,2.6,0.3
20200915,14,25.5,0.0,北,1.5,0.0
20200915,15,25.3,0.0,北北東,1.3,0.0
20200915,16,25.1,0.0,北,1.8,0.3
20200915,17,24.3,0.0,北北東,2.0,0.5
20200915,18,23.3,0.0,北,1.0,0.0
20200915,19,22.1,0.0,静穏,0.0,0.0
20200915,20,22.1,0.0,北北東,0.6,0.0
20200915,21,21.6,0.0,静穏,0.2,-
20200915,22,21.5,0.0,北東,0.5,-
20200915,23,-,-,-,-,-
20200915,24,-,-,-,-,-
