日付,時刻,気温,降水量,風向,風速,日照時間
20200914,1,17.7,0.0,静穏,0.1,-
20200914,2,17.5,0.0,静穏,0.0,-
20200914,3,17.4,0.0,静穏,0.0,-
20200914,4,17.2,0.0,静穏,0.0,0.0
20200914,5,17.1,0.0,静穏,0.0,0.0
20200914,6,16.8,0.0,静穏,0.2,0.0
20200914,7,17.5,0.0,静穏,0.1,0.1
20200914,8,20.3,0.0,南南西,1.0,0.8
20200914,9,21.7,0.0,東北東,0.6,0.5
20200914,10,22.8,0.0,北東,1.1,0.7
20200914,11,24.1,0.0,東,1.3,0.4
20200914,12,24.7,0.0,南西,1.2,0.6
20200914,13,27.1,0.0,東,1.7,1.0
20200914,14,26.9,0.0,東,1.3,1.0
20200914,15,27.4,0.0,東,1.1,1.0
20200914,16,26.8,0.0,北北東,2.7,1.0
20200914,17,25.1,0.0,北北東,2.3,0.4
20200914,18,23.1,0.0,東北東,1.1,0.0
20200914,19,21.3,0.0,北東,0.4,0.0
20200914,20,20.6,0.0,東,0.3,0.0
20200914,21,19.7,0.0,西南西,0.3,-
20200914,22,19.2,0.0,静穏,0.1,-
20200914,23,19.1,0.0,静穏,0.0,-
20200914,24,18.7,0.0,南南西,0.4,-
20200915,1,18.8,0.0,北北東,0.8,-
20200915,2,18.5,0.0,北,0.3,-
20200915,3,18.1,0.0,静穏,0.0,-
20200915,4,18.2,0.0,静穏,0.1,0.0
20200915,5,17.9,0.0,南南西,0.4,0.0
20200915,6,17.4,0.0,静穏,0.1,0.0
20200915,7,17.9,0.0,南,0.4,0.0
20200915,8,19.6,0.0,南東,0.6,0.6
20200915,9,23.6,0.0,東,1.1,1.0
20200915,10,-,-,-,-,-
20200915,11,-,-,-,-,-
20200915,12,-,-,-,-,-
20200915,13,-,-,-,-,-
20200915,14,-,-,-,-,-
20200915,15,-,-,-,-,-
20200915,16,-,-,-,-,-
20200915,17,-,-,-,-,-
20200915,18,-,-,-,-,-
20200915,19,-,-,-,-,-
20200915,20,-,-,-,-,-
20200915,21,-,-,-,-,-
20200915,22,-,-,-,-,-
20200915,23,-,-,-,-,-
20200915,24,-,-,-,-,-
